M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.8986112D+30  6.9894176D+09  1.0000000D+06  1.7000000D+02  1.6362097D-04  9.4845284D+04  3.19896D-01  3.19882D-01  8.33156D+33
  1.8986112D+30  6.9890110D+09  1.1714484D+06  1.7880860D+02  1.8220935D-04  9.7158933D+04  3.18140D-01  3.18127D-01  7.97428D+33
  1.8986111D+30  6.9885819D+09  1.3730821D+06  1.8804192D+02  2.0305750D-04  9.9486374D+04  3.15899D-01  3.15888D-01  7.64187D+33
  1.8986110D+30  6.9881290D+09  1.6103472D+06  1.9771859D+02  2.2645674D-04  1.0186869D+05  3.13723D-01  3.13713D-01  7.33249D+33
  1.8986110D+30  6.9876511D+09  1.8896994D+06  2.0785782D+02  2.5274210D-04  1.0429901D+05  3.11547D-01  3.11538D-01  7.04449D+33
  1.8986109D+30  6.9871470D+09  2.2187346D+06  2.1848100D+02  2.8229759D-04  1.0678719D+05  3.09488D-01  3.09480D-01  6.77599D+33
  1.8986108D+30  6.9866155D+09  2.6064860D+06  2.2960935D+02  3.1560710D-04  1.0931753D+05  3.07466D-01  3.07459D-01  6.52558D+33
  1.8986107D+30  6.9860556D+09  3.0635107D+06  2.4126810D+02  3.5331531D-04  1.1188053D+05  3.05669D-01  3.05663D-01  6.29132D+33
  1.8986105D+30  6.9854666D+09  3.6023462D+06  2.5348228D+02  3.9646389D-04  1.1440915D+05  3.04002D-01  3.03997D-01  6.07180D+33
  1.8986104D+30  6.9848490D+09  4.2376398D+06  2.6628127D+02  4.4692120D-04  1.1677191D+05  3.02581D-01  3.02577D-01  5.86521D+33
  1.8986102D+30  6.9842055D+09  4.9867044D+06  2.7969550D+02  5.0841248D-04  1.1869106D+05  3.01428D-01  3.01424D-01  5.67014D+33
  1.8986100D+30  6.9835438D+09  5.8696518D+06  2.9376203D+02  5.8596446D-04  1.1990377D+05  3.00639D-01  3.00635D-01  5.48469D+33
  1.8986097D+30  6.9828581D+09  6.9104571D+06  3.0851258D+02  6.5658672D-04  1.2284943D+05  2.99712D-01  2.99709D-01  5.30808D+33
  1.8986094D+30  6.9821371D+09  8.1372843D+06  3.2397985D+02  7.3586983D-04  1.2589230D+05  2.99008D-01  2.99005D-01  5.13961D+33
  1.8986090D+30  6.9813789D+09  9.5832855D+06  3.4020033D+02  8.2484776D-04  1.2901792D+05  2.98401D-01  2.98398D-01  4.97850D+33
  1.8986086D+30  6.9805822D+09  1.1287325D+07  3.5721358D+02  9.2465987D-04  1.3224777D+05  2.97939D-01  2.97937D-01  4.82394D+33
