  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.8986112D+30  6.9938302D+09  1.0000000D+06  1.7000000D+02  1.6362097D-04  9.4845284D+04  3.19896D-01  3.19882D-01  8.33156D+33
  1.8986112D+30  6.9934238D+09  1.1711287D+06  1.7879308D+02  1.8217549D-04  9.7154964D+04  3.18144D-01  3.18131D-01  7.97488D+33
  1.8986111D+30  6.9929949D+09  1.3723358D+06  1.8800963D+02  2.0298209D-04  9.9478345D+04  3.15907D-01  3.15896D-01  7.64297D+33
  1.8986110D+30  6.9925423D+09  1.6090402D+06  1.9766823D+02  2.2633076D-04  1.0185646D+05  3.13734D-01  3.13724D-01  7.33401D+33
  1.8986110D+30  6.9920648D+09  1.8876640D+06  2.0778805D+02  2.5255487D-04  1.0428244D+05  3.11561D-01  3.11552D-01  7.04636D+33
  1.8986109D+30  6.9915611D+09  2.2157631D+06  2.1839040D+02  2.8203650D-04  1.0676630D+05  3.09505D-01  3.09498D-01  6.77815D+33
  1.8986108D+30  6.9910300D+09  2.6023209D+06  2.2949645D+02  3.1525659D-04  1.0929210D+05  3.07483D-01  3.07476D-01  6.52798D+33
  1.8986107D+30  6.9904706D+09  3.0578349D+06  2.4113136D+02  3.5285485D-04  1.1185128D+05  3.05689D-01  3.05683D-01  6.29392D+33
  1.8986105D+30  6.9898821D+09  3.5947690D+06  2.5332007D+02  3.9586247D-04  1.1437686D+05  3.04021D-01  3.04016D-01  6.07456D+33
  1.8986104D+30  6.9892650D+09  4.2276837D+06  2.6609181D+02  4.4612495D-04  1.1673988D+05  3.02600D-01  3.02595D-01  5.86812D+33
  1.8986102D+30  6.9886221D+09  4.9737824D+06  2.7947690D+02  5.0731446D-04  1.1866628D+05  3.01443D-01  3.01439D-01  5.67317D+33
  1.8986100D+30  6.9879568D+09  5.8531255D+06  2.9351024D+02  5.7248342D-04  1.2111680D+05  3.00423D-01  3.00419D-01  5.48804D+33
  1.8986097D+30  6.9872569D+09  6.8897353D+06  3.0822005D+02  6.4142289D-04  1.2408548D+05  2.99483D-01  2.99480D-01  5.31229D+33
  1.8986094D+30  6.9865209D+09  8.1114679D+06  3.2364330D+02  7.1881617D-04  1.2715205D+05  2.98769D-01  2.98766D-01  5.14465D+33
  1.8986091D+30  6.9857471D+09  9.5512908D+06  3.3981639D+02  8.0567184D-04  1.3030171D+05  2.98149D-01  2.98147D-01  4.98434D+33
  1.8986086D+30  6.9849339D+09  1.1247854D+07  3.5677871D+02  9.0310215D-04  1.3355753D+05  2.97683D-01  2.97681D-01  4.83055D+33
  1.8986081D+30  6.9840794D+09  1.3246948D+07  3.7456878D+02  1.0123827D-03  1.3689917D+05  2.97269D-01  2.97267D-01  4.68287D+33
  1.8986075D+30  6.9831815D+09  1.5602130D+07  3.9322951D+02  1.1348956D-03  1.4034153D+05  2.96937D-01  2.96935D-01  4.54070D+33
  1.8986068D+30  6.9822382D+09  1.8376758D+07  4.1280331D+02  1.2722254D-03  1.4389185D+05  2.96680D-01  2.96679D-01  4.40372D+33
  1.8986060D+30  6.9812473D+09  2.1644957D+07  4.3333709D+02  1.4260781D-03  1.4754010D+05  2.96465D-01  2.96464D-01  4.27146D+33
  1.8986051D+30  6.9802064D+09  2.5494299D+07  4.5487767D+02  1.5984016D-03  1.5131203D+05  2.96282D-01  2.96281D-01  4.14370D+33
  1.8986039D+30  6.9791129D+09  3.0028195D+07  4.7747247D+02  1.7913922D-03  1.5518089D+05  2.96089D-01  2.96088D-01  4.02031D+33
