  M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.8986112D+30  6.9894602D+09  1.0000000D+06  1.6500000D+02  1.6857875D-04  9.3488178D+04  3.20582D-01  3.20567D-01  9.38829D+33
  1.8986112D+30  6.9890554D+09  1.1761043D+06  1.7379075D+02  1.8821372D-04  9.5877073D+04  3.19408D-01  3.19395D-01  8.97142D+33
  1.8986111D+30  6.9886279D+09  1.3838417D+06  1.8302384D+02  2.1025617D-04  9.8237970D+04  3.17084D-01  3.17073D-01  8.58179D+33
  1.8986110D+30  6.9881761D+09  1.6292317D+06  1.9271232D+02  2.3505725D-04  1.0065785D+05  3.14855D-01  3.14845D-01  8.21991D+33
  1.8986110D+30  6.9876987D+09  1.9192738D+06  2.0287625D+02  2.6298581D-04  1.0312653D+05  3.12596D-01  3.12587D-01  7.88378D+33
  1.8986109D+30  6.9871943D+09  2.2622503D+06  2.1353770D+02  2.9446074D-04  1.0565609D+05  3.10444D-01  3.10436D-01  7.57120D+33
  1.8986108D+30  6.9866618D+09  2.6680222D+06  2.2471931D+02  3.2998832D-04  1.0823625D+05  3.08332D-01  3.08325D-01  7.28031D+33
  1.8986107D+30  6.9860997D+09  3.1482628D+06  2.3644583D+02  3.7021741D-04  1.1086302D+05  3.06397D-01  3.06391D-01  7.00917D+33
  1.8986105D+30  6.9855072D+09  3.7167559D+06  2.4874474D+02  4.1610089D-04  1.1349293D+05  3.04603D-01  3.04597D-01  6.75571D+33
  1.8986103D+30  6.9848841D+09  4.3898036D+06  2.6164569D+02  4.6927286D-04  1.1603564D+05  3.03072D-01  3.03067D-01  6.51798D+33
  1.8986101D+30  6.9842319D+09  5.1866688D+06  2.7518091D+02  5.3288607D-04  1.1827131D+05  3.01726D-01  3.01722D-01  6.29416D+33
  1.8986099D+30  6.9835514D+09  6.1300640D+06  2.8938527D+02  6.0053046D-04  1.2104742D+05  3.00594D-01  3.00591D-01  6.08249D+33
  1.8986096D+30  6.9828344D+09  7.2470459D+06  3.0429087D+02  6.7484801D-04  1.2409535D+05  2.99560D-01  2.99557D-01  5.88204D+33
  1.8986093D+30  6.9820794D+09  8.5693157D+06  3.1993638D+02  7.5853787D-04  1.2724037D+05  2.98768D-01  2.98765D-01  5.69134D+33
  1.8986089D+30  6.9812846D+09  1.0134431D+07  3.3636111D+02  8.5274575D-04  1.3049151D+05  2.98143D-01  2.98141D-01  5.50933D+33
  1.8986084D+30  6.9804482D+09  1.1986720D+07  3.5360657D+02  9.5874752D-04  1.3383181D+05  2.97599D-01  2.97597D-01  5.33509D+33
  1.8986079D+30  6.9795680D+09  1.4178741D+07  3.7171470D+02  1.0779857D-03  1.3728156D+05  2.97167D-01  2.97165D-01  5.16799D+33
  1.8986073D+30  6.9786420D+09  1.6772562D+07  3.9072980D+02  1.2120773D-03  1.4082965D+05  2.96804D-01  2.96802D-01  5.00745D+33
  1.8986065D+30  6.9776679D+09  1.9841203D+07  4.1070013D+02  1.3627781D-03  1.4449767D+05  2.96540D-01  2.96538D-01  4.85279D+33
  1.8986056D+30  6.9766433D+09  2.3471538D+07  4.3167240D+02  1.5321296D-03  1.4827926D+05  2.96332D-01  2.96331D-01  4.70379D+33
  1.8986045D+30  6.9755656D+09  2.7765444D+07  4.5369946D+02  1.7223097D-03  1.5216813D+05  2.96100D-01  2.96099D-01  4.55990D+33
  1.8986032D+30  6.9744319D+09  3.2844666D+07  4.7683006D+02  1.9359036D-03  1.5619134D+05  2.95918D-01  2.95917D-01  4.42114D+33
  1.8986017D+30  6.9732393D+09  3.8852087D+07  5.0111978D+02  2.1756636D-03  1.6031740D+05  2.95661D-01  2.95660D-01  4.28719D+33
  1.8986000D+30  6.9719847D+09  4.5957172D+07  5.2662422D+02  2.4447339D-03  1.6461397D+05  2.95506D-01  2.95505D-01  4.15791D+33
  1.8985979D+30  6.9706646D+09  5.4360136D+07  5.5340184D+02  2.7465890D-03  1.6900641D+05  2.95220D-01  2.95219D-01  4.03314D+33
  1.8985954D+30  6.9692754D+09  6.4297679D+07  5.8151349D+02  3.0850978D-03  1.7358165D+05  2.94983D-01  2.94982D-01  3.91275D+33
  1.8985925D+30  6.9678131D+09  7.6052092D+07  6.1101684D+02  3.4647606D-03  1.7826753D+05  2.94581D-01  2.94581D-01  3.79686D+33
  1.8985891D+30  6.9662737D+09  8.9954677D+07  6.4197858D+02  3.8902710D-03  1.8314930D+05  2.94185D-01  2.94185D-01  3.68527D+33
  1.8985850D+30  6.9646523D+09  1.0640253D+08  6.7445798D+02  4.3672810D-03  1.8817757D+05  2.93672D-01  2.93671D-01  3.57817D+33
  1.8985802D+30  6.9629444D+09  1.2585965D+08  7.0852830D+02  4.9015416D-03  1.9338711D+05  2.93065D-01  2.93065D-01  3.47526D+33
  1.8985745D+30  6.9611441D+09  1.4888865D+08  7.4424488D+02  5.5003537D-03  1.9877337D+05  2.92339D-01  2.92339D-01  3.37698D+33
  1.8985677D+30  6.9592464D+09  1.7614452D+08  7.8168389D+02  6.1708727D-03  2.0434147D+05  2.91456D-01  2.91456D-01  3.28304D+33
  1.8985598D+30  6.9572443D+09  2.0842017D+08  8.2090370D+02  6.9220835D-03  2.1016406D+05  2.90494D-01  2.90494D-01  3.19378D+33
  1.8985504D+30  6.9551316D+09  2.4664616D+08  8.6197836D+02  7.7629898D-03  2.1612457D+05  2.89264D-01  2.89264D-01  3.10903D+33
  1.8985392D+30  6.9529005D+09  2.9194824D+08  9.0496463D+02  8.7048110D-03  2.2243326D+05  2.87962D-01  2.87962D-01  3.02913D+33
  1.8985260D+30  6.9505431D+09  3.4565456D+08  9.4993259D+02  9.7591124D-03  2.2885699D+05  2.86353D-01  2.86353D-01  2.95402D+33
  1.8985104D+30  6.9480505D+09  4.0936309D+08  9.9694131D+02  1.0939087D-02  2.3573921D+05  2.84713D-01  2.84712D-01  2.88387D+33
  1.8984919D+30  6.9454131D+09  4.8497430D+08  1.0460552D+03  1.2259683D-02  2.4276537D+05  2.82704D-01  2.82704D-01  2.81871D+33
